Datetime,Close,High,Low,Open,Volume
2023-06-02 07:00:00+00:00,14514.25,14518.75,14497.5,14514.75,0
2023-06-02 08:00:00+00:00,14529.25,14529.75,14502.5,14514.0,13225
2023-06-02 09:00:00+00:00,14541.25,14564.25,14525.0,14529.0,18704
2023-06-02 10:00:00+00:00,14529.75,14554.75,14525.75,14541.75,12942
2023-06-02 11:00:00+00:00,14551.75,14564.25,14529.5,14529.5,18923
2023-06-02 12:00:00+00:00,14511.25,14558.0,14496.0,14552.0,53894
2023-06-02 13:00:00+00:00,14481.75,14627.75,14475.0,14511.75,186996
2023-06-02 14:00:00+00:00,14586.5,14588.5,14470.0,14481.75,200693
2023-06-02 15:00:00+00:00,14591.0,14605.75,14559.25,14586.25,106668
2023-06-02 16:00:00+00:00,14592.0,14609.25,14553.5,14588.0,73011
2023-06-02 17:00:00+00:00,14586.5,14605.0,14575.75,14592.25,56070
2023-06-02 18:00:00+00:00,14586.25,14597.0,14551.5,14586.5,64068
2023-06-02 19:00:00+00:00,14579.25,14600.75,14564.75,14587.0,72923
2023-06-02 20:00:00+00:00,14586.75,14590.75,14576.5,14579.25,14605
2023-06-04 22:00:00+00:00,14567.25,14584.25,14556.25,14582.75,8292
2023-06-04 23:00:00+00:00,14536.75,14568.25,14522.0,14567.5,12120
2023-06-05 00:00:00+00:00,14528.0,14537.25,14512.75,14537.0,11537
2023-06-05 01:00:00+00:00,14532.75,14538.0,14520.25,14528.25,9136
2023-06-05 02:00:00+00:00,14541.5,14543.75,14528.0,14533.0,5264
2023-06-05 03:00:00+00:00,14528.75,14546.25,14527.25,14541.25,6060
2023-06-05 04:00:00+00:00,14524.0,14530.5,14516.5,14528.5,5706
2023-06-05 05:00:00+00:00,14535.0,14536.75,14519.25,14524.0,5979
2023-06-05 06:00:00+00:00,14536.75,14539.5,14526.0,14535.0,5707
2023-06-05 07:00:00+00:00,14553.5,14574.5,14528.25,14537.0,17442
2023-06-05 08:00:00+00:00,14541.0,14559.25,14536.5,14554.0,11286
2023-06-05 09:00:00+00:00,14534.75,14549.0,14529.5,14541.5,9187
2023-06-05 10:00:00+00:00,14550.25,14553.25,14528.0,14535.0,10006
2023-06-05 11:00:00+00:00,14555.25,14563.0,14544.25,14550.5,11303
2023-06-05 12:00:00+00:00,14560.75,14568.5,14545.0,14554.75,15637
2023-06-05 13:00:00+00:00,14597.0,14651.75,14556.0,14560.5,124258
2023-06-05 14:00:00+00:00,14664.75,14672.0,14589.5,14597.25,206329
2023-06-05 15:00:00+00:00,14668.75,14688.0,14644.0,14664.75,84891
2023-06-05 16:00:00+00:00,14691.0,14692.5,14647.75,14670.0,65008
2023-06-05 17:00:00+00:00,14632.75,14695.25,14610.0,14690.75,81229
2023-06-05 18:00:00+00:00,14608.5,14638.75,14543.75,14632.75,128079
2023-06-05 19:00:00+00:00,14587.5,14613.5,14543.75,14608.5,109525
2023-06-05 20:00:00+00:00,14583.0,14594.0,14582.0,14587.5,10157
2023-06-05 22:00:00+00:00,14565.0,14587.5,14563.5,14582.0,0
2023-06-05 23:00:00+00:00,14566.0,14577.5,14558.25,14565.0,5221
2023-06-06 00:00:00+00:00,14574.0,14574.75,14556.5,14566.0,7142
2023-06-06 01:00:00+00:00,14590.0,14590.75,14572.25,14574.25,10608
2023-06-06 02:00:00+00:00,14591.25,14596.75,14586.25,14589.75,8626
2023-06-06 03:00:00+00:00,14589.0,14594.5,14580.0,14591.5,6010
2023-06-06 04:00:00+00:00,14588.25,14601.0,14586.25,14589.0,6848
2023-06-06 05:00:00+00:00,14581.0,14600.0,14579.0,14588.5,7651
2023-06-06 06:00:00+00:00,14571.0,14588.5,14567.0,14581.0,9310
2023-06-06 07:00:00+00:00,14594.75,14616.0,14570.5,14570.75,19300
2023-06-06 08:00:00+00:00,14581.5,14609.75,14574.25,14593.75,12606
2023-06-06 09:00:00+00:00,14578.0,14592.0,14575.75,14581.75,7225
2023-06-06 10:00:00+00:00,14579.5,14582.0,14564.0,14577.75,10110
2023-06-06 11:00:00+00:00,14584.25,14594.5,14573.5,14579.25,9718
2023-06-06 12:00:00+00:00,14572.0,14592.25,14563.75,14584.75,19320
2023-06-06 13:00:00+00:00,14546.0,14585.0,14505.0,14571.75,127066
2023-06-06 14:00:00+00:00,14592.0,14606.75,14525.75,14545.5,150897
2023-06-06 15:00:00+00:00,14611.25,14615.75,14540.0,14592.0,100341
2023-06-06 16:00:00+00:00,14532.75,14624.0,14527.75,14611.25,84618
2023-06-06 17:00:00+00:00,14552.0,14580.5,14530.75,14533.25,79375
2023-06-06 18:00:00+00:00,14585.0,14588.25,14545.0,14552.5,56863
2023-06-06 19:00:00+00:00,14584.0,14603.25,14561.25,14585.25,71189
2023-06-06 20:00:00+00:00,14595.0,14597.75,14577.75,14583.75,10341
2023-06-06 22:00:00+00:00,14578.75,14598.25,14574.75,14593.5,0
2023-06-06 23:00:00+00:00,14595.25,14598.75,14576.5,14578.5,5055
2023-06-07 00:00:00+00:00,14592.0,14602.0,14587.5,14595.0,7382
2023-06-07 01:00:00+00:00,14578.5,14594.75,14573.0,14592.25,11609
2023-06-07 02:00:00+00:00,14579.5,14580.25,14568.5,14578.75,6075
2023-06-07 03:00:00+00:00,14585.75,14588.0,14576.0,14579.0,4700
2023-06-07 04:00:00+00:00,14581.0,14587.25,14577.5,14586.5,4533
2023-06-07 05:00:00+00:00,14578.75,14585.75,14575.0,14580.5,5647
2023-06-07 06:00:00+00:00,14569.25,14580.0,14562.25,14578.75,7116
2023-06-07 07:00:00+00:00,14548.5,14571.5,14542.5,14569.0,14601
2023-06-07 08:00:00+00:00,14556.0,14557.75,14537.5,14548.5,10356
2023-06-07 09:00:00+00:00,14561.75,14569.0,14549.5,14556.5,8191
2023-06-07 10:00:00+00:00,14584.25,14587.5,14560.75,14562.0,11552
2023-06-07 11:00:00+00:00,14613.25,14615.0,14583.0,14583.75,15621
2023-06-07 12:00:00+00:00,14598.0,14613.75,14590.0,14613.0,18872
2023-06-07 13:00:00+00:00,14631.5,14675.5,14590.25,14598.0,139516
2023-06-07 14:00:00+00:00,14474.5,14639.0,14448.0,14631.0,238197
2023-06-07 15:00:00+00:00,14430.5,14509.25,14425.25,14474.5,141466
2023-06-07 16:00:00+00:00,14389.75,14457.0,14374.0,14430.75,118536
2023-06-07 17:00:00+00:00,14374.75,14409.75,14340.75,14390.25,116297
2023-06-07 18:00:00+00:00,14373.5,14408.75,14340.0,14374.75,87771
2023-06-07 19:00:00+00:00,14331.5,14382.25,14305.5,14373.0,115914
2023-06-07 20:00:00+00:00,14316.25,14336.75,14315.25,14331.75,16888
2023-06-07 22:00:00+00:00,14313.0,14333.75,14307.0,14318.75,0
2023-06-07 23:00:00+00:00,14330.5,14331.75,14312.0,14312.75,5281
2023-06-08 00:00:00+00:00,14334.25,14337.25,14326.25,14329.5,8144
2023-06-08 01:00:00+00:00,14327.25,14338.25,14315.25,14334.25,9572
2023-06-08 02:00:00+00:00,14321.75,14328.25,14320.5,14327.25,5804
2023-06-08 03:00:00+00:00,14308.75,14326.0,14300.0,14321.75,9157
2023-06-08 04:00:00+00:00,14271.75,14306.75,14260.25,14306.75,22441
2023-06-08 05:00:00+00:00,14282.0,14293.75,14266.25,14271.5,15729
2023-06-08 06:00:00+00:00,14268.25,14282.25,14257.0,14282.25,15670
2023-06-08 07:00:00+00:00,14292.0,14306.5,14261.5,14268.5,20576
2023-06-08 08:00:00+00:00,14323.25,14334.5,14288.75,14292.0,18113
2023-06-08 09:00:00+00:00,14345.5,14346.75,14321.25,14323.0,13735
2023-06-08 10:00:00+00:00,14330.5,14353.25,14325.5,14345.5,12343
2023-06-08 11:00:00+00:00,14320.5,14336.5,14309.0,14330.0,17506
2023-06-08 12:00:00+00:00,14359.5,14371.5,14288.0,14320.5,54102
2023-06-08 13:00:00+00:00,14378.75,14397.0,14328.0,14359.0,167705
2023-06-08 14:00:00+00:00,14457.0,14459.75,14365.5,14378.75,161794
2023-06-08 15:00:00+00:00,14494.5,14515.0,14454.0,14457.5,106581
2023-06-08 16:00:00+00:00,14481.5,14523.5,14470.5,14494.75,78429
2023-06-08 17:00:00+00:00,14446.5,14493.0,14421.0,14481.75,77321
2023-06-08 18:00:00+00:00,14483.75,14489.25,14435.75,14447.5,56431
