Date,Close,High,Low,Open,Volume
2023-06-02,14575.25,14627.75,14470.0,14494.5,960375
2023-06-05,14588.75,14695.25,14512.75,14582.75,955175
2023-06-06,14586.5,14624.0,14505.0,14582.0,825671
2023-06-07,14331.5,14675.5,14305.5,14593.5,1110723
2023-06-08,14503.0,14527.0,14257.0,14318.75,961594
2023-06-09,14556.25,14688.0,14460.25,14518.75,987711
2023-06-12,14800.5,14826.75,14553.75,14561.5,346323
2023-06-13,14914.25,14968.25,14779.5,14825.0,320709
2023-06-14,15012.75,15059.5,14793.0,14928.0,201554
2023-06-15,15188.0,15252.0,14883.0,15041.0,152424
2023-06-16,15316.6103515625,15326.0,15130.25,15193.75,1000125
2023-06-20,15256.5,15321.75,15126.25,15302.5,1052906
2023-06-21,15044.0,15273.0,15002.5,15247.0,945397
2023-06-22,15214.75,15238.0,14964.0,15042.0,994988
2023-06-23,15058.25,15236.5,14984.75,15236.0,998278
2023-06-26,14856.5,15152.25,14853.5,15058.25,1039539
2023-06-27,15111.5,15139.75,14862.5,14874.75,961486
2023-06-28,15130.0,15218.75,15021.25,15087.0,1099390
2023-06-29,15100.25,15202.75,15028.5,15160.5,988008
2023-06-30,15337.0,15376.5,15098.75,15107.0,782655
2023-07-03,15364.75,15392.0,15307.5,15331.5,429677
2023-07-05,15360.75,15431.75,15255.25,15356.5,868758
2023-07-06,15238.0,15365.75,15112.0,15355.0,954281
2023-07-07,15181.75,15359.75,15172.0,15214.0,1042065
2023-07-10,15187.0,15219.75,15063.5,15195.75,1025927
2023-07-11,15260.0,15279.75,15109.0,15192.75,930817
2023-07-12,15444.75,15507.75,15253.25,15260.0,1077628
2023-07-13,15711.5,15741.25,15455.75,15459.75,873031
2023-07-14,15694.25,15857.5,15658.0,15699.5,992104
2023-07-17,15840.75,15886.75,15661.0,15690.25,797555
2023-07-18,15974.75,16030.0,15733.5,15827.0,957136
2023-07-19,15959.25,16062.5,15911.0,15952.0,1093845
2023-07-20,15592.25,15925.75,15547.5,15925.75,1206792
2023-07-21,15540.0,15719.5,15522.25,15594.0,1151784
2023-07-24,15561.25,15618.25,15484.5,15555.75,912619
2023-07-25,15673.0,15736.0,15549.0,15569.25,826753
2023-07-26,15610.75,15739.5,15515.0,15725.25,1110099
2023-07-27,15571.0,15904.0,15512.5,15639.25,1350572
2023-07-28,15847.5,15895.75,15546.5,15584.0,1156299
2023-07-31,15857.5,15916.5,15791.25,15849.5,912108
2023-08-01,15817.25,15889.0,15728.0,15867.5,891307
2023-08-02,15473.0,15790.0,15413.25,15769.5,1263570
2023-08-03,15438.75,15552.25,15339.25,15452.5,1206265
2023-08-04,15354.0,15610.25,15336.5,15444.0,1403814
2023-08-07,15485.5,15495.25,15334.5,15369.75,1063835
2023-08-08,15354.25,15498.0,15216.25,15490.75,1058237
2023-08-09,15178.25,15432.75,15145.0,15351.5,1120131
2023-08-10,15201.25,15441.75,15136.0,15202.25,1460558
2023-08-11,15095.75,15266.75,15037.25,15218.75,1132060
2023-08-14,15270.25,15282.25,15020.0,15105.0,1044116
2023-08-15,15106.5,15335.0,15076.0,15281.75,1172726
2023-08-16,14942.25,15165.5,14921.75,15113.0,1130557
2023-08-17,14778.0,15018.0,14738.75,14942.5,1188060
2023-08-18,14744.0,14802.75,14609.25,14750.0,1318274
2023-08-21,14985.75,15013.75,14720.5,14763.25,1103987
2023-08-22,14958.5,15118.5,14931.0,14972.0,1141176
2023-08-23,15195.5,15355.75,14955.25,14964.0,1023851
2023-08-24,14862.0,15417.75,14816.75,15341.25,1514736
2023-08-25,14979.25,15049.0,14752.75,14838.0,1589191
2023-08-28,15092.5,15126.75,14973.25,14991.75,1170233
2023-08-29,15415.75,15430.0,15050.0,15096.0,1019044
2023-08-30,15501.25,15524.5,15361.25,15424.25,1117435
2023-08-31,15538.5,15606.75,15458.5,15512.5,1116087
2023-09-01,15516.25,15661.25,15453.5,15534.75,1064967
2023-09-05,15534.5,15587.0,15418.5,15517.75,1165851
2023-09-06,15399.5,15532.75,15310.5,15512.5,1022363
2023-09-07,15282.25,15395.5,15157.5,15388.75,1159920
2023-09-08,15297.5,15390.5,15222.75,15287.0,1029955
2023-09-11,15475.75,15498.0,15297.75,15308.0,458735
2023-09-12,15304.75,15480.75,15289.5,15464.0,290478
2023-09-13,15356.25,15424.25,15212.5,15308.0,240973
2023-09-14,15478.0,15517.75,15336.75,15373.25,144086
2023-09-15,15435.2001953125,15524.0,15400.0,15476.0,1185757
2023-09-18,15414.5,15460.75,15330.5,15383.75,980761
2023-09-19,15375.25,15442.5,15248.5,15424.5,1051906
2023-09-20,15152.0,15436.5,15127.75,15378.75,1177026
2023-09-21,14862.75,15148.0,14838.5,15133.0,1261759
2023-09-22,14869.5,15027.25,14835.75,14850.0,1134088
2023-09-25,14935.25,14956.0,14782.5,14879.0,1171444
2023-09-26,14715.0,14952.5,14666.25,14952.5,1255260
2023-09-27,14739.0,14821.25,14587.25,14726.5,1373653
2023-09-28,14859.75,14948.0,14656.25,14771.0,1429002
2023-09-29,14866.5,15060.75,14811.0,14877.0,1471532
2023-10-02,14984.75,15046.25,14824.75,14962.25,1554218
2023-10-03,14714.5,15031.0,14651.5,14992.0,1498571
2023-10-04,14923.75,14955.75,14589.25,14715.0,1524342
2023-10-05,14861.75,14958.75,14716.0,14904.25,1359928
2023-10-06,15112.0,15160.5,14660.25,14856.0,1579512
2023-10-09,15187.0,15212.75,14949.25,15076.0,1125602
2023-10-10,15270.75,15383.5,15173.0,15199.0,1161981
2023-10-11,15380.0,15417.5,15253.0,15278.75,1166562
2023-10-12,15315.0,15469.5,15216.25,15408.25,1323805
2023-10-13,15120.25,15367.0,15062.0,15326.0,1499806
2023-10-16,15289.5,15338.0,15083.0,15119.75,1210425
2023-10-17,15240.75,15309.25,15050.0,15304.75,1308204
2023-10-18,15025.25,15243.0,14979.0,15243.0,1565886
2023-10-19,14890.0,15138.0,14839.25,15048.0,1984316
2023-10-20,14664.0,14887.75,14645.0,14850.25,1473441
2023-10-23,14712.0,14854.25,14514.25,14678.75,1379601
2023-10-24,14846.5,14950.0,14705.75,14746.0,1352289
2023-10-25,14478.25,14854.5,14440.0,14831.5,1407896
2023-10-26,14194.0,14459.25,14136.5,14430.75,1797107
2023-10-27,14265.25,14407.5,14209.5,14244.0,1468765
2023-10-30,14416.5,14476.25,14302.25,14329.0,1193512
2023-10-31,14490.25,14503.5,14311.25,14412.0,1248926
